VK,HT,FT
97,114,0
103,83,599
98,101,561
103,89,290
77,79,5461
69,128,411
74,57,282
79,61,419
82,110,199
73,59,234
65,120,429
32,59,143
76,71,588
69,79,266
86,71,247
69,106,221
32,59,165
68,93,677
69,110,199
76,69,256
32,59,243
68,110,717
79,69,171
76,55,209
79,87,142
82,89,211
32,69,265
190,69,1015
32,54,241
83,98,235
69,102,222
71,75,294
85,42,419
73,73,560
77,73,340
73,61,425
69,109,243
78,57,215
84,116,267
79,73,206
32,51,251
80,146,423
79,122,114
82,114,309
32,67,169
67,91,357
79,81,229
78,53,272
83,104,245
85,75,335
76,71,441
84,101,282
79,77,191
82,88,240
73,138,177
79,119,134
32,63,303
69,88,132
88,71,307
84,108,281
32,79,256
68,91,243
69,120,231
32,57,91
84,114,921
82,126,201
65,88,264
85,65,460
77,95,243
65,106,73
84,67,374
79,57,443
76,69,199
79,91,187
71,61,334
73,67,381
65,102,233
80,73,8617
65,106,257
67,106,817
73,75,219
69,98,289
78,71,125
84,107,221
69,100,273
32,69,145
67,91,322
79,83,241
78,71,318
32,75,231
82,71,500
69,98,259
71,93,446
85,75,211
76,75,336
65,82,189
82,104,266
32,69,136
69,81,177
86,116,457
73,26,332
8,102,665
79,79,345
76,79,207
85,165,342
67,98,343
73,134,189
79,139,96
78,79,282
32,71,221
68,71,149
69,106,188
76,69,141
32,91,227
68,100,273
79,73,175
76,77,211
79,75,209
82,128,163
190,79,680
32,69,265
83,92,1035
69,106,212
32,79,133
68,69,205
69,77,191
82,65,199
67,71,231
65,80,351
82,98,303
84,72,220
65,100,345
32,57,181
84,90,239
82,96,220
79,92,236
77,90,250
66,73,359
79,90,463
83,92,256
73,89,171
83,102,156
32,61,192
89,98,308
32,65,315
76,69,671
69,92,275
83,94,294
73,139,161
79,133,93
78,67,383
69,73,334
83,65,255
32,90,191
68,94,104
69,118,190
32,71,76
80,85,472
65,73,179
82,89,260
84,75,233
69,90,210
83,113,305
32,59,138
66,73,1140
76,71,447
65,80,290
78,67,212
68,96,439
65,55,302
83,85,209
190,75,690
32,61,217
83,86,388
69,108,208
32,53,161
69,98,171
67,79,357
8,139,699
88,77,315
80,108,334
75,63,398
8,77,637
76,81,304
73,91,239
67,73,243
65,114,340
32,75,187
81,110,342
85,90,212
69,117,213
32,97,102
69,108,163
76,77,563
32,77,249
83,73,197
69,79,219
71,92,227
85,89,224
73,75,229
77,75,263
73,89,271
69,124,197
78,71,193
84,114,281
79,65,185
32,59,330
76,103,273
79,79,241
32,63,305
82,96,362
69,92,221
65,102,357
76,87,159
73,65,276
90,53,198
65,78,199
82,75,252
65,116,259
32,37,110
80,141,461
79,93,126
82,90,224
32,59,189
84,135,354
82,81,174
65,100,191
85,79,432
77,79,275
65,80,100
84,61,309
79,75,410
76,70,215
79,79,189
71,65,300
73,90,330
65,110,252
190,61,611
32,55,249
13,94,1644
83,120,830
69,114,248
32,67,349
73,83,501
78,88,247
68,92,1274
73,71,252
67,98,351
65,102,234
78,73,339
32,75,213
65,102,229
78,57,246
65,101,146
76,83,422
70,112,368
8,86,668
71,105,232
69,92,350
83,78,298
73,86,191
67,94,325
79,81,201
83,108,255
32,61,1160
86,100,423
79,69,323
190,86,764
32,69,304
65,98,4589
76,92,262
84,100,352
65,106,454
32,81,201
83,71,221
65,80,263
78,58,357
65,90,194
84,108,507
79,71,282
82,93,469
73,74,243
65,111,268
76,82,297
13,68,12559
