VK,HT,FT
98,152,-2147483648
96,150,267
96,64,161
96,94,170
72,80,1188
69,120,206
77,76,276
79,80,240
68,72,229
73,46,268
78,72,381
65,136,214
77,103,200
73,137,367
67,92,193
65,112,333
77,90,229
69,120,222
78,80,102
84,103,55
69,118,242
32,90,191
69,95,176
83,120,223
84,103,32
65,159,87
66,67,428
76,77,453
69,98,213
188,78,503
32,110,200
65,119,123
70,99,406
69,104,201
66,72,389
82,110,184
73,105,576
76,95,332
188,82,862
32,84,227
83,150,88
69,87,55
32,15,158
82,80,263
69,103,191
65,106,301
76,54,159
73,80,223
88,112,572
8,96,754
90,43,546
79,76,279
8,121,6
65,104,1218
32,55,128
69,120,200
67,91,179
79,88,264
71,83,329
82,88,201
65,111,120
70,79,230
73,71,277
65,119,55
32,72,168
65,98,66
66,118,406
68,73,237
79,91,280
77,98,246
73,119,218
78,89,131
65,129,243
76,80,239
162,583,771
86,58,159
46,116,320
46,136,323
46,0,160
46,126,439
46,96,257
46,0,25
46,0,176
46,96,25
46,122,287
46,127,173
46,103,31
46,111,31
46,0,32
46,136,30
46,112,31
46,0,28
46,76,30
46,0,30
46,0,30
13,56,1324
46,89,31
46,0,312
46,127,226
46,103,1088
32,164,319
32,63,670
32,170,105
46,96,30
46,0,239
46,128,294
46,219,321
13,98,946
46,0,30
46,88,198
46,0,31
46,0,810
46,0,84
46,0,26
46,0,164
46,0,30
46,0,1001
46,0,31
13,80,250
13,87,492
82,95,192
88,128,425
32,72,192
80,106,472
69,75,247
76,64,202
86,64,213
73,103,696
83,104,176
32,35,264
78,89,438
79,88,407
82,117,323
77,72,251
65,119,343
76,78,346
188,63,540
32,76,326
71,109,385
82,88,48
97,74,184
98,87,44
101,71,263
101,81,1277
96,42,387
111,79,1229
72,56,737
84,36,356
79,87,1236
100,64,419
96,97,514
111,56,1228
72,64,964
66,57,422
97,48,1147
99,72,232
110,43,1298
99,58,283
111,71,619
71,50,1070
76,73,479
85,86,376
97,63,943
99,126,813
104,80,131
111,114,706
85,27,1251
82,55,181
69,96,191
65,53,230
98,95,757
104,72,328
111,134,552
67,140,530
82,88,288
69,96,205
65,60,310
84,115,482
96,98,611
110,68,438
103,72,271
111,62,473
84,72,1413
71,71,232
79,56,568
99,123,1335
98,64,255
111,72,784
84,10,1405
71,80,502
80,112,1151
100,90,443
97,86,264
111,70,832
66,64,280
84,36,384
96,83,260
110,23,425
103,51,392
111,80,620
66,64,771
68,92,360
96,69,263
110,63,618
97,90,338
188,81,831
111,120,1223
49,104,651
51,74,723
54,176,597
78,83,256
65,134,334
111,80,591
75,67,22
100,95,322
110,72,381
96,73,813
111,88,1195
67,93,1048
76,95,224
97,55,557
96,55,208
96,63,51
111,79,1202
80,105,1323
76,120,259
65,90,468
81,92,557
98,64,1268
102,80,414
104,72,261
111,88,522
8,43,191
13,78,936
80,105,1311
65,89,112
67,147,343
73,177,192
69,88,197
78,81,206
84,86,245
69,112,137
32,81,168
67,120,320
79,94,248
78,78,211
32,64,184
65,125,770
76,72,224
84,80,324
65,8,143
32,75,203
67,96,395
76,69,232
73,93,256
78,88,208
73,83,173
67,89,564
65,151,415
32,46,204
89,72,538
32,67,318
84,72,480
82,139,192
65,100,265
85,81,272
77,32,335
65,68,119
84,64,316
79,64,73
76,18,174
79,79,175
71,61,464
73,82,345
65,119,120
67,96,303
65,106,214
188,112,383
190,81,888
