VK,HT,FT
97,98,-2147483648
98,56,208
96,56,396
96,58,189
80,122,343
65,104,192
67,150,328
73,88,297
69,95,227
78,89,200
84,112,264
69,139,107
32,107,272
67,104,536
79,90,248
78,127,325
32,56,185
65,112,222
78,45,90
84,80,87
69,72,285
67,74,224
69,66,140
68,80,209
69,114,168
78,111,186
84,94,270
69,80,114
68,72,239
32,27,152
8,95,450
8,72,224
83,102,723
32,129,191
68,95,127
69,96,197
32,100,158
76,81,371
85,91,309
80,88,191
85,88,479
83,116,155
32,73,69
83,150,255
74,77,283
79,68,251
71,80,464
82,161,231
69,64,208
77,90,292
8,136,664
78,96,228
32,106,196
83,150,272
77,93,276
69,72,254
32,49,65
68,87,156
69,92,121
32,64,194
83,76,537
85,87,304
80,96,799
69,95,207
82,73,204
80,96,222
79,115,144
67,81,246
8,81,600
83,96,270
73,95,139
67,22,358
73,127,155
79,105,184
78,72,310
32,119,232
160,291,1221
84,115,143
66,72,335
81,104,346
32,80,281
8,62,769
188,100,881
32,18,271
81,102,246
85,31,249
69,113,216
32,87,319
80,64,647
82,99,167
69,72,220
83,112,192
69,120,246
78,63,142
84,96,216
89,107,917
65,72,216
32,115,411
160,220,170
67,88,240
86,80,455
65,69,151
83,96,207
32,78,247
68,86,160
69,94,190
32,72,114
50,95,1236
48,104,245
32,93,422
68,75,183
73,59,304
65,116,157
83,26,261
32,146,470
68,80,102
69,72,241
32,101,114
69,138,712
86,58,315
79,72,250
76,43,207
85,65,261
67,87,243
73,139,199
79,150,104
78,73,102
32,72,177
69,121,172
78,101,231
32,97,208
84,100,893
82,102,186
65,124,592
84,80,430
65,116,281
77,80,241
73,62,260
52,88,407
8,92,649
69,99,758
78,88,344
89,72,208
8,129,898
84,114,400
79,88,253
32,77,187
80,99,694
79,87,122
82,120,284
32,65,48
53,75,243
32,159,352
67,90,162
79,56,243
78,80,248
32,73,335
67,80,421
76,95,257
65,92,409
82,112,374
73,31,216
84,64,330
82,73,224
79,80,564
77,80,270
73,126,233
67,72,258
73,58,184
78,87,192
65,110,224
32,14,140
67,88,145
73,66,173
8,137,1375
79,72,321
78,72,255
32,90,232
82,76,195
69,95,229
71,72,334
85,86,306
76,56,333
65,96,268
82,4,366
32,80,237
82,92,128
69,82,199
83,98,253
80,71,224
85,73,341
69,92,217
83,105,234
84,103,161
65,102,128
32,57,195
13,82,432
67,124,514
79,83,228
78,77,240
83,130,366
85,71,324
76,77,417
84,94,48
65,100,119
32,19,16
80,87,515
79,92,137
82,136,291
32,57,179
67,91,434
79,80,228
78,22,151
83,64,397
85,78,331
76,86,312
84,25,281
79,89,175
82,158,166
73,196,342
79,98,151
32,106,555
69,95,132
88,23,457
84,121,272
69,80,164
82,8,112
78,74,532
79,98,390
83,112,151
32,88,175
83,75,309
69,97,267
32,80,146
68,64,207
69,64,178
67,88,311
73,89,266
68,112,77
69,112,203
32,219,176
13,79,101
160,184,125
84,91,255
65,112,262
80,84,317
81,135,319
85,88,240
73,99,186
78,104,193
69,89,174
65,88,529
190,79,658
32,88,289
8,121,436
8,72,501
188,96,1157
32,79,133
67,103,306
82,130,315
69,38,294
79,105,284
8,175,362
80,86,123
73,88,172
84,92,311
65,80,91
78,103,380
84,80,248
69,87,199
83,113,216
32,97,137
69,104,192
78,79,223
32,118,199
66,84,251
65,119,146
83,40,11
69,96,184
32,80,135
73,88,1021
90,94,249
81,112,577
85,147,102
73,98,89
69,124,115
82,119,12
68,102,229
65,96,88
32,88,27
73,78,19
78,37,270
84,238,244
69,103,185
82,100,130
78,65,176
65,80,166
67,114,170
73,172,168
79,92,118
78,94,286
32,98,159
83,149,1081
69,130,164
32,55,147
82,80,658
69,79,199
65,105,42
76,94,72
73,71,224
90,98,98
79,45,232
32,92,241
160,222,369
84,135,273
65,113,432
67,83,399
32,88,224
68,97,307
69,5,208
32,81,79
160,1500,177
84,103,384
79,64,263
8,63,775
79,73,301
82,96,170
65,119,359
88,113,547
32,68,156
89,153,210
32,57,148
76,101,140
65,95,119
66,81,366
79,122,386
82,87,233
65,109,427
84,99,119
79,72,455
82,132,248
79,66,146
8,88,728
73,71,454
79,134,75
32,21,822
162,1500,965
67,112,400
162,528,355
86,64,370
