VK,HT,FT
97,159,0
102,157,226
100,257,1255
104,106,233
80,71,3873
65,102,298
67,126,1770
73,71,199
69,120,239
78,70,193
84,102,216
69,120,116
32,71,185
67,170,526
79,67,461
78,51,269
32,61,184
82,94,144
69,59,252
71,98,298
85,59,169
76,59,324
65,102,235
82,93,355
32,91,211
69,86,144
83,90,207
84,81,133
65,106,128
68,78,290
79,57,466
32,57,229
71,69,239
69,118,164
78,51,276
69,100,67
82,75,234
65,125,366
76,74,246
188,65,759
32,49,241
81,100,389
85,61,143
69,124,215
32,69,190
80,61,2435
82,92,272
69,102,214
83,119,256
69,129,227
78,63,170
84,70,268
79,79,422
32,58,257
78,69,271
85,67,243
69,134,159
86,75,316
79,71,437
32,75,225
69,104,205
80,79,300
73,63,219
68,69,369
8,85,652
83,139,269
79,61,196
68,120,195
73,67,219
79,79,340
32,74,368
32,65,4357
68,83,183
69,92,187
32,61,169
80,65,578
69,96,154
82,61,282
68,94,229
73,59,248
68,87,211
65,104,336
32,94,157
68,102,193
69,100,218
32,74,45
84,127,1023
79,82,228
78,70,256
79,100,276
32,70,312
80,73,728
79,72,148
83,106,551
84,86,201
85,59,496
82,87,268
65,147,249
76,71,448
32,88,1892
67,139,454
79,61,236
78,61,215
32,67,174
82,98,202
69,116,234
76,65,199
65,114,244
74,65,947
65,98,140
67,124,339
73,67,198
79,84,162
78,59,258
32,65,195
68,92,245
69,127,248
32,63,182
69,88,104
83,96,256
70,122,399
73,65,256
78,65,229
84,92,247
69,102,147
82,140,256
190,67,1834
32,49,229
13,90,1434
72,57,484
73,50,472
80,63,257
79,65,152
84,84,352
69,114,197
78,43,274
83,139,347
73,78,149
79,88,129
78,63,244
32,68,189
65,127,1435
82,87,285
84,63,223
69,96,235
82,126,230
73,71,286
65,135,255
76,80,388
188,87,1176
32,69,245
83,104,2951
65,129,242
84,80,138
32,80,379
57,94,1129
57,100,230
160,225,2006
53,62,89
32,143,3228
78,53,1119
8,84,1150
77,55,501
8,76,522
78,56,323
79,69,350
32,75,209
70,173,684
79,73,199
67,147,387
79,79,176
32,77,243
77,88,229
79,67,414
84,155,491
79,78,222
82,122,242
32,130,1759
78,69,614
73,75,235
32,69,241
77,127,205
69,144,188
78,59,232
73,84,348
78,49,288
71,77,381
85,79,957
69,116,399
8,135,1389
8,110,230
69,151,674
79,77,224
190,47,1191
13,61,399
83,104,8533
69,112,208
32,86,140
73,86,299
78,57,222
84,130,249
69,184,92
82,85,132
78,70,456
65,174,221
32,59,156
80,82,398
65,140,102
82,92,259
65,131,106
32,73,235
68,120,637
88,83,361
32,55,233
89,73,316
32,71,219
84,55,247
84,82,124
79,69,468
8,74,2643
8,65,189
8,67,170
8,80,154
8,73,155
8,67,169
8,61,171
8,71,152
8,83,164
8,63,175
8,61,174
8,61,184
8,63,181
8,57,190
8,57,181
8,57,182
8,61,182
8,55,195
8,57,183
8,53,185
8,61,175
8,61,178
8,74,191
8,65,183
69,143,5402
80,78,139
73,59,206
83,104,276
79,67,141
68,116,219
73,55,385
79,80,180
32,89,1596
68,86,258
69,112,223
32,47,114
80,64,395
69,116,109
82,81,223
68,106,227
73,82,181
68,98,163
65,131,391
32,55,145
80,100,415
79,81,153
83,96,496
84,108,347
85,72,355
82,69,238
65,151,531
76,61,586
32,89,492
67,130,950
79,77,225
78,51,229
32,65,171
82,90,318
69,98,232
76,59,232
65,147,238
74,59,16602
65,115,236
67,126,430
73,87,193
79,119,164
78,90,275
32,94,216
69,122,1157
83,119,308
70,131,390
73,106,258
78,81,238
84,85,350
69,104,310
82,95,220
