VK,HT,FT
97,125,0
105,94,226
96,121,238
105,90,307
80,75,3382
65,90,148
67,106,305
73,72,187
69,93,236
78,77,209
84,97,258
69,96,63
32,73,217
8,0,981
8,14,501
8,111,93
8,88,178
8,68,167
8,55,163
8,73,131
8,47,165
20,112,13418
78,82,3110
79,98,222
8,84,4553
76,81,432
65,112,100
32,68,151
80,79,313
65,109,136
67,97,356
73,79,195
69,112,184
78,86,185
69,110,213
84,100,18
32,82,219
69,69,141
83,104,187
32,72,109
69,94,189
86,76,349
65,97,143
76,86,350
85,91,242
65,80,126
68,63,228
65,119,199
32,69,84
80,119,256
79,80,147
82,115,250
32,74,109
71,75,624
73,90,410
78,77,242
69,91,197
67,104,328
79,49,191
32,81,308
81,76,661
85,88,258
69,110,209
32,65,118
8,106,1776
8,96,173
8,71,175
8,65,136
81,127,1748
85,151,200
73,135,90
69,116,282
78,55,258
32,79,162
73,94,364
78,85,207
68,124,302
73,90,197
67,108,587
65,139,300
32,71,198
67,108,370
79,87,207
78,82,235
84,86,274
73,82,521
78,92,270
85,100,292
65,139,191
82,92,153
32,86,264
67,108,203
79,96,173
78,78,209
32,94,189
73,77,419
78,67,261
84,87,277
69,103,140
82,69,79
78,69,436
65,113,102
67,117,312
73,166,142
79,128,126
78,72,299
188,77,666
32,84,156
73,71,397
78,69,243
84,99,269
69,116,174
82,75,36
80,78,595
82,88,226
69,86,230
84,86,262
65,106,121
78,75,395
68,104,762
79,83,248
32,75,366
69,98,172
76,90,248
32,84,218
67,88,315
85,98,239
65,102,141
68,84,262
82,88,185
79,88,474
32,94,216
67,100,353
79,92,195
77,94,312
79,82,422
32,77,280
20,107,334
69,86,525
79,71,632
8,86,593
80,92,367
73,90,231
20,155,602
190,79,861
32,86,256
83,88,7758
69,104,197
32,82,126
73,96,242
78,81,201
73,91,233
67,88,532
73,79,516
65,119,207
32,83,121
84,76,294
84,82,141
79,96,440
32,87,228
65,115,217
84,77,267
66,79,488
32,60,3768
69,86,339
86,106,355
190,87,1041
32,78,193
13,69,1227
83,110,1239
79,78,133
76,80,205
79,92,171
8,92,880
8,69,197
8,76,168
8,67,405
83,101,619
69,112,206
32,78,139
73,102,278
78,92,177
84,112,272
69,122,125
82,83,57
78,65,515
65,100,166
32,152,1308
8,0,1205
8,0,501
8,0,31
8,0,29
8,0,29
8,0,29
8,0,30
8,0,31
8,0,29
8,0,31
8,64,108
67,96,760
79,86,223
78,75,244
84,91,247
73,87,451
78,78,241
85,100,262
65,118,231
32,82,250
73,88,294
78,88,193
84,88,296
53,48,21
82,100,264
69,123,15
78,77,487
65,100,126
67,118,281
73,150,169
79,151,74
78,94,231
8,469,1628
171,38,3
8,81,560
8,69,168
8,69,166
8,61,167
8,69,152
8,66,160
8,59,167
8,61,156
8,72,148
69,98,819
82,90,189
78,65,320
65,102,276
67,102,371
73,80,296
79,78,189
78,67,1531
190,90,88222
32,77,246
67,96,764
79,104,460
78,98,389
84,163,310
82,100,191
79,73,555
76,88,195
32,87,271
69,78,493
67,79,369
79,82,381
32,114,2266
69,79,419
8,120,914
84,84,755
86,75,452
32,90,223
32,84,1848
8,33,41722
8,86,116
190,57,5854
32,64,11167
69,104,216
78,65,242
32,71,158
52,104,1065
8,71,17715
52,91,1120
56,93,505
32,90,241
72,85,383
83,139,237
8,75,4608
8,80,136
77,83,695
8,82,605
78,73,357
79,87,391
