VK,HT,FT
97,80,0
97,80,128
98,70,200
100,70,208
162,758,16280
86,64,534
8,78,6554
82,88,1790
8,96,528
83,80,200
69,98,208
32,62,98
82,64,150
69,72,178
67,80,326
73,70,210
66,74,302
69,98,200
32,74,160
68,104,1072
79,64,120
76,66,176
79,88,136
8,72,1000
8,72,152
8,80,146
8,80,166
8,82,152
32,74,576
69,72,320
67,120,264
79,80,258
32,72,224
65,122,334
66,72,320
68,86,346
79,74,206
77,90,176
73,106,168
78,86,162
65,128,206
76,80,266
160,270,2904
190,64,78
32,168,1416
162,488,27874
86,72,182
46,110,3490
46,144,216
46,94,344
46,152,294
46,110,1386
46,136,334
46,118,1698
46,48,256
46,138,1126
46,120,312
46,102,994
46,96,414
46,110,1234
46,120,374
46,94,1202
46,102,2736
46,104,374
46,142,1386
46,136,390
46,80,1544
46,86,554
46,110,1272
46,104,422
46,142,1978
46,96,662
46,160,352
46,120,408
46,118,810
46,128,374
46,88,272
46,128,256
46,112,1768
46,110,1378
46,136,350
69,94,3978
67,104,502
79,80,208
32,80,296
8,136,2344
32,88,736
67,64,248
65,104,408
82,88,168
68,80,128
73,80,464
65,80,120
67,96,312
79,88,200
160,232,1664
190,56,80
32,56,240
83,72,608
111,136,704
80,80,784
190,72,1248
32,80,144
13,144,544
83,64,512
69,104,224
32,32,120
72,80,440
65,72,240
66,80,216
76,72,496
65,104,152
32,72,128
67,94,314
79,96,198
78,104,848
32,72,368
68,96,1472
82,88,360
65,104,416
32,80,144
67,80,1064
8,112,680
70,80,480
79,80,368
82,88,216
78,80,256
65,72,248
82,104,304
79,88,184
32,96,312
81,104,344
85,96,168
69,104,216
32,72,88
73,96,320
78,72,256
68,96,312
73,96,408
67,72,168
65,120,320
32,72,192
77,80,952
69,112,248
67,96,424
73,96,208
67,72,296
65,80,264
67,96,280
73,176,208
79,128,112
78,80,264
32,64,216
65,88,104
77,56,296
8,120,616
78,88,288
84,112,224
73,88,536
72,72,368
73,80,408
80,80,408
69,96,144
82,80,208
84,104,208
69,120,112
78,80,400
83,80,272
73,72,176
86,88,328
65,160,552
190,80,1256
32,72,312
86,88,1208
65,96,312
76,72,240
83,72,448
65,80,232
82,72,232
84,80,176
65,104,128
78,72,376
32,72,200
49,80,544
54,88,184
48,88,528
111,72,864
72,56,1520
73,64,504
68,64,304
82,88,584
79,72,208
67,120,384
76,72,272
79,80,192
82,96,264
79,80,240
84,88,480
73,72,472
65,72,232
90,80,240
73,88,216
68,88,560
65,144,288
32,112,464
97,72,1032
98,64,208
110,80,496
101,80,536
111,144,1536
65,104,2816
77,72,264
76,128,536
79,88,256
68,104,376
73,96,264
80,96,248
73,80,216
78,88,336
65,136,224
32,64,168
97,64,904
96,72,176
32,64,616
77,72,440
72,72,280
8,136,520
71,104,272
190,72,648
32,56,288
13,104,872
67,128,664
79,88,224
78,80,232
84,120,272
82,96,160
79,80,520
76,96,192
32,72,240
67,112,312
79,80,208
78,64,240
32,64,208
83,80,624
69,80,192
82,64,208
86,88,344
73,96,208
67,96,232
73,176,200
79,112,136
32,88,272
68,80,192
69,88,184
32,64,120
67,72,176
65,104,312
82,136,184
68,96,128
73,80,496
79,88,184
76,96,296
79,88,256
71,64,360
85,54,402
73,62,0
65,96,246
8,88,928
8,64,208
8,80,160
73,96,832
65,96,216
8,96,20552
20,184,360
67,72,288
32,160,6296
83,88,1264
69,96,192
32,72,152
73,72,328
78,72,264
68,104,264
73,64,272
67,80,200
65,128,320
32,64,208
68,104,272
73,64,216
69,88,208
84,104,224
65,120,232
32,72,144
83,96,304
73,72,352
78,72,264
32,72,216
83,80,392
65,72,232
76,64,320
78,64,3200
79,64,880
78,80,2320
79,96,168
8,96,5166
8,72,8130
8,80,6016
160,304,4488
190,64,128
8,80,9784
188,72,3192
32,72,168
188,72,14600
8,72,12480
