VK,HT,FT
97,54,-2147483648
101,121,167
101,55,535
104,80,608
80,64,366
65,104,169
67,134,446
73,169,224
69,104,223
78,72,124
84,96,233
69,116,273
32,92,216
69,96,187
78,64,119
32,73,207
66,50,457
85,98,611
69,97,176
78,72,156
32,72,182
69,79,222
83,84,232
84,95,176
65,88,125
68,96,44
79,72,140
32,56,226
71,88,495
69,96,165
78,72,320
69,51,281
82,44,210
65,133,283
76,96,256
32,56,276
190,64,791
32,21,215
84,30,1428
65,105,211
32,98,107
49,80,488
48,109,268
48,62,149
111,84,1123
54,87,227
48,64,168
32,71,522
32,144,904
83,96,72
65,128,3
84,89,153
32,18,335
57,80,561
56,80,1281
190,104,1358
32,115,291
85,92,368
66,81,558
73,71,425
67,104,231
65,86,447
68,79,26
79,95,360
32,151,269
69,95,221
78,84,226
32,117,184
84,75,285
73,54,499
69,89,208
77,62,134
80,72,186
79,47,127
32,64,242
89,2,263
32,88,287
69,88,381
83,80,279
79,96,481
80,37,63
65,84,232
67,120,368
73,80,274
79,134,112
188,125,738
32,130,225
71,132,282
76,55,460
65,105,179
83,72,225
71,18,475
79,82,224
87,112,599
32,96,405
49,88,436
53,131,417
111,181,405
49,98,633
53,135,506
32,116,96
190,108,1306
32,80,209
8,0,1208
8,0,191
8,72,176
80,64,1116
65,84,77
67,88,350
73,83,229
79,72,88
8,88,766
8,87,258
8,81,147
8,55,160
20,119,512
80,72,277
20,129,103
83,80,507
73,95,207
78,92,256
32,86,216
70,96,417
79,71,199
67,123,277
79,88,134
32,89,220
77,80,190
79,97,227
84,83,318
79,72,505
82,15,204
32,63,244
78,77,445
73,96,243
32,70,101
77,110,304
69,95,184
78,72,278
73,110,240
78,19,179
71,109,425
85,63,347
69,88,207
79,63,238
32,77,265
8,95,742
8,94,232
8,63,168
8,71,188
69,112,869
79,85,154
188,108,527
13,63,529
69,88,270
83,112,221
32,87,160
69,104,31
86,80,378
65,80,129
76,84,323
85,86,199
65,135,117
68,89,228
79,66,264
32,64,246
80,78,427
79,83,34
82,106,190
32,58,169
78,63,295
69,132,252
85,36,361
82,79,199
79,84,228
76,66,209
79,64,148
71,72,359
73,79,439
65,117,252
32,105,120
81,87,210
85,73,159
69,68,208
32,57,96
83,67,119
85,91,309
71,80,440
73,79,324
69,144,114
82,56,225
69,87,217
32,80,200
82,89,205
69,95,208
65,75,225
76,109,295
73,88,240
90,95,252
65,96,199
82,79,349
32,88,331
70,135,240
8,100,558
68,72,268
79,120,195
80,89,190
80,79,352
76,96,156
69,115,245
82,77,191
32,97,169
68,82,968
69,80,200
32,116,96
86,73,302
65,96,219
83,88,10
79,78,205
32,70,243
68,72,218
69,70,176
32,66,70
68,80,227
8,96,393
67,112,356
85,95,125
69,136,236
76,125,592
76,34,152
79,73,176
32,114,236
111,84,827
89,50,428
32,72,246
65,112,458
71,72,589
85,64,295
65,114,164
82,74,181
68,80,223
65,111,121
68,92,241
32,151,182
73,106,349
78,78,224
70,103,145
79,79,150
82,71,278
77,87,190
69,103,160
32,83,200
68,63,370
69,83,155
32,148,152
84,127,294
65,104,278
67,83,158
13,72,593
80,84,1450
65,81,184
67,69,440
73,92,199
69,72,258
78,72,227
84,76,316
69,112,110
32,79,256
69,80,186
83,87,190
8,99,583
8,65,232
8,0,56
8,0,26
8,86,30
8,0,27
8,0,200
8,86,26
8,0,30
8,77,25
8,80,182
8,0,24
8,72,24
82,88,133
78,94,327
79,12,310
32,72,261
80,86,343
82,72,191
69,72,186
83,80,223
69,72,246
78,78,150
84,89,353
65,96,208
