VK,HT,FT
97,80,-2147483648
102,76,222
97,56,443
96,72,287
80,64,463
65,109,264
67,97,328
73,95,226
69,98,255
78,47,184
84,97,247
69,152,148
32,86,144
83,94,192
73,75,127
78,78,206
32,83,179
68,95,220
79,86,122
76,77,230
79,58,167
8,106,1342
8,89,168
8,57,153
8,83,316
8,56,151
8,0,191
8,72,30
8,0,24
8,0,384
8,64,30
8,0,25
8,0,165
8,0,26
8,81,176
8,72,29
8,72,48
8,0,24
20,105,885
20,87,1092
80,80,477
20,88,111
65,88,833
67,166,326
73,88,45
69,112,264
78,83,137
84,82,251
69,53,116
32,81,198
67,130,271
79,86,275
78,72,243
32,54,178
66,71,781
8,40,901
8,57,168
8,96,191
8,0,31
8,80,758
72,87,363
69,96,334
77,64,231
79,105,204
68,127,248
73,111,287
78,80,383
65,112,229
77,72,271
73,103,358
67,88,383
65,135,308
77,111,204
69,120,199
78,89,173
84,98,272
69,105,87
32,120,171
67,121,264
79,100,278
77,94,239
80,77,466
69,102,265
78,67,330
83,94,329
65,68,37
68,102,360
79,81,100
188,109,1087
32,153,204
69,16,316
67,106,317
79,106,259
32,88,232
65,130,547
66,79,264
68,154,233
79,103,205
77,107,206
73,88,186
78,61,128
65,155,128
76,68,336
162,785,1133
162,1283,904
86,66,387
46,135,787
46,119,300
46,0,164
46,119,31
46,0,412
46,128,31
46,0,1281
46,0,394
46,0,167
46,104,155
46,0,30
46,0,1275
46,14,24
46,0,172
46,1,30
46,0,30
46,0,31
46,112,287
46,0,31
46,0,31
13,64,181
76,88,248
65,46,233
66,80,288
79,55,426
82,80,248
65,104,418
84,117,110
79,89,469
82,115,193
73,78,271
79,145,123
160,144,756
190,56,88
71,108,449
82,104,215
99,80,780
110,87,367
105,75,446
98,57,493
111,103,1026
72,72,909
84,93,285
79,96,595
8,80,747
8,79,311
8,74,178
32,135,324
71,130,324
66,127,508
97,48,926
98,88,255
96,48,245
96,72,252
96,95,559
111,75,1256
72,71,991
84,79,229
79,73,739
99,65,1055
101,79,413
111,87,1133
71,64,1056
76,89,990
85,80,370
97,80,256
104,71,328
103,72,308
111,65,743
85,80,802
82,87,150
69,96,175
65,79,216
102,58,541
97,63,239
111,80,1393
67,80,91
82,72,35
69,99,152
65,78,427
89,106,846
8,51,728
84,112,369
100,65,327
110,71,461
105,129,420
111,80,873
70,88,849
65,91,396
76,61,393
99,127,264
102,85,215
100,65,391
111,71,817
84,74,1297
71,76,492
79,80,529
98,64,1090
99,64,649
111,71,647
84,144,761
71,118,327
98,88,1219
101,72,212
111,80,776
78,72,273
65,124,265
97,30,943
99,50,231
97,112,978
111,80,552
75,64,1120
101,95,372
110,71,354
97,94,246
13,72,934
83,116,803
79,55,212
76,85,201
73,89,193
67,86,319
73,113,224
84,79,256
79,88,675
8,107,259
8,82,197
8,76,152
8,56,184
8,81,150
8,0,29
8,0,24
8,6,185
78,93,1013
79,72,294
83,101,232
69,87,169
32,73,126
85,108,546
8,61,562
73,88,502
78,89,192
68,81,249
73,41,256
67,3,259
65,152,317
32,105,126
69,83,388
88,106,304
84,95,192
69,74,191
82,56,10
78,93,489
65,119,275
67,115,95
73,157,212
79,143,137
78,89,260
32,91,228
80,88,335
65,88,140
82,88,218
65,108,82
32,73,120
8,161,572
8,64,199
8,63,70
8,65,185
8,0,0
89,64,312
32,104,168
83,80,202
69,153,257
71,72,322
85,94,431
73,79,285
77,71,221
73,92,524
69,104,63
78,95,182
84,131,273
79,64,171
32,55,233
80,89,332
79,81,195
82,114,218
32,120,152
71,72,415
65,81,238
83,88,175
84,96,137
82,103,150
79,86,231
69,66,237
78,73,168
84,95,473
69,103,119
82,59,200
79,64,24
76,114,217
79,96,197
71,72,338
73,109,240
65,120,387
