VK,HT,FT
97,64,-2147483648
97,80,184
97,80,183
98,101,479
80,69,323
65,96,206
67,98,432
73,88,192
69,112,230
78,69,152
84,104,321
69,86,56
32,86,152
67,111,514
79,73,288
78,72,269
32,86,243
65,23,207
78,89,177
84,88,13
69,72,232
67,7,338
69,87,207
68,68,223
69,112,168
78,77,565
84,100,235
69,80,102
83,100,231
32,79,198
68,165,47
69,97,228
32,79,89
72,80,1195
73,72,328
80,80,303
79,0,170
84,86,309
73,73,592
82,104,232
79,86,435
73,85,457
68,71,248
73,89,145
83,110,176
77,80,279
79,80,239
32,79,257
68,80,151
69,80,168
32,64,72
8,66,1410
8,56,174
8,72,150
83,104,540
73,84,68
78,104,180
32,72,182
84,80,282
84,72,160
79,95,570
32,75,269
81,29,395
85,88,256
69,85,208
32,28,105
73,80,98
78,78,257
71,117,322
82,12,183
83,237,218
65,81,271
32,140,144
80,72,418
82,72,241
69,74,145
83,70,307
69,95,207
78,94,161
84,89,216
65,121,285
78,104,392
68,113,154
79,91,216
32,72,255
68,86,135
79,63,149
76,80,173
79,72,186
82,107,201
32,56,153
76,56,357
85,103,255
77,81,241
66,72,418
65,108,176
82,113,259
32,72,152
67,103,400
79,94,173
78,82,131
32,72,185
73,89,433
82,71,256
82,79,176
65,124,392
68,88,272
73,72,256
65,88,167
67,96,4
73,130,173
79,103,200
78,74,334
32,80,197
65,88,425
32,78,156
77,95,232
77,60,148
73,98,248
73,83,159
190,89,136
32,92,248
73,97,376
78,72,170
8,96,671
77,88,353
80,80,385
79,96,143
84,88,319
69,80,233
78,41,431
67,95,269
73,88,224
65,93,54
32,95,171
70,64,391
85,64,404
78,64,230
67,72,321
73,63,89
79,112,121
78,89,335
65,120,202
76,64,322
32,64,252
107,121,714
79,80,139
8,104,385
80,71,320
65,64,48
82,86,230
69,82,213
83,88,256
84,92,316
69,80,109
83,111,216
73,98,249
65,112,184
83,89,215
190,80,1001
32,64,296
13,72,897
83,78,363
79,48,217
76,72,68
73,107,223
67,88,255
73,80,162
84,99,262
79,70,719
32,61,176
20,179,525
73,81,787
67,96,220
32,114,348
8,94,991
8,94,499
8,0,258
82,81,90
77,81,331
78,92,11
20,172,313
32,96,200
68,121,1115
69,71,213
32,63,120
67,120,467
79,91,244
76,55,110
85,101,336
77,70,231
78,89,210
65,156,491
13,104,487
83,112,377
79,71,224
76,56,191
73,106,273
67,126,375
73,115,183
84,90,259
79,113,420
32,80,259
76,57,462
65,111,207
66,55,384
79,71,513
82,80,271
65,60,428
84,110,381
79,72,487
82,53,191
73,126,135
79,85,138
13,113,303
83,99,178
76,90,478
73,71,249
67,75,426
73,72,208
84,103,292
79,79,224
32,10,266
20,120,793
73,72,232
67,86,313
20,111,253
32,69,714
67,131,283
79,87,144
78,118,290
32,65,232
84,109,201
82,129,29
65,124,22
85,83,425
77,98,329
65,66,112
84,90,394
79,88,443
76,63,201
79,72,191
71,145,333
73,93,413
65,92,200
32,71,153
68,72,165
69,111,205
32,72,95
67,81,1248
79,93,268
76,75,216
85,84,265
77,96,248
78,90,216
65,80,206
68,8,266
79,80,340
76,66,229
79,73,151
82,96,203
13,103,578
70,96,289
85,64,327
69,88,175
32,56,152
77,74,349
69,120,204
68,71,283
73,81,200
67,55,569
65,137,166
68,74,55
65,88,231
32,97,154
67,96,147
79,64,213
78,79,255
32,80,204
77,75,166
85,9,295
76,48,145
84,95,359
73,85,483
80,178,333
76,141,144
69,86,222
83,23,247
32,72,143
65,125,342
78,64,285
65,111,120
76,82,291
71,65,624
69,89,153
83,88,216
73,119,153
67,107,224
79,80,252
83,108,270
188,92,1197
32,74,620
68,96,182
73,95,178
67,79,330
76,72,223
79,92,193
70,112,555
69,88,539
78,72,216
65,141,203
111,89,871
8,0,767
67,106,715
111,87,770
68,80,137
69,95,167
88,105,303
65,96,243
77,94,143
69,96,233
84,114,1
65,159,410
83,129,269
79,64,184
78,89,301
65,120,197
111,135,864
68,91,1399
73,64,208
65,113,284
90,73,238
69,95,216
80,98,319
65,96,166
78,95,180
111,103,640
8,110,681
8,71,304
77,96,496
111,80,904
70,104,658
69,96,594
78,81,486
84,86,215
65,104,468
78,88,291
73,96,204
76,62,284
79,72,220
190,72,707
67,56,352
79,96,240
78,65,407
32,81,178
77,81,425
69,79,279
74,132,305
79,79,416
82,130,104
73,72,432
65,126,353
32,64,224
76,64,460
69,83,170
86,72,367
69,109,194
32,95,168
68,64,164
69,63,174
76,64,316
32,80,383
68,128,300
79,76,171
76,65,170
79,73,160
82,173,0
