VK,HT,FT
97,56,0
98,56,208
96,48,224
98,56,248
83,97,31464
69,112,208
32,80,136
82,72,175
69,80,193
67,80,360
73,80,248
66,80,344
69,73,184
32,47,136
76,64,456
65,64,200
66,64,248
79,71,384
82,72,192
65,136,360
84,78,121
79,89,790
82,55,185
73,64,216
79,81,111
160,287,1482
78,64,127
8,81,1159
162,800,369
190,79,600
13,42,2904
162,512,2192
86,64,255
46,112,9257
190,70,40233
32,89,190
65,97,344
76,64,328
66,79,377
85,95,280
78,72,263
8,80,736
77,96,400
73,94,193
78,89,183
65,240,489
162,942,21449
67,56,622
162,783,897
86,72,399
188,64,2984
162,599,14049
86,65,343
188,73,2416
162,672,14025
86,64,407
188,105,11904
162,1087,945
67,64,167
86,72,488
8,95,4768
32,152,1512
72,96,560
84,89,240
79,80,512
8,80,5336
20,103,2400
71,80,272
82,72,688
8,95,3561
72,88,3975
66,72,344
32,159,785
103,64,8496
110,80,655
99,73,511
111,72,1193
67,159,11457
82,88,399
69,56,256
65,88,424
84,64,224
32,80,288
49,120,368
57,32,248
8,56,2416
48,80,688
111,72,1256
85,121,10863
82,89,224
69,88,185
65,114,431
97,80,1201
101,80,167
99,81,384
111,72,1449
71,95,28497
76,79,286
85,88,321
67,104,448
32,64,25303
55,80,353
55,64,152
13,47,3728
83,97,335
79,61,291
76,56,205
73,63,193
67,98,255
73,72,185
84,64,256
79,79,744
32,88,320
49,87,344
32,72,184
85,80,544
71,96,472
82,95,336
13,55,2391
13,95,170505
78,88,27055
79,89,303
83,106,2921
69,145,224
32,63,145
72,96,287
65,121,256
66,95,432
65,103,304
76,89,199
8,104,489
8,72,232
8,73,183
66,72,1160
75,64,472
8,96,545
76,72,368
65,136,144
32,48,160
67,95,320
79,80,200
78,72,272
32,81,215
70,105,184
82,80,209
69,88,232
83,88,280
69,113,207
78,96,313
73,89,231
85,88,977
83,120,328
32,63,232
8,113,2895
89,103,1137
65,104,239
32,55,121
81,96,344
85,89,351
69,88,249
32,79,120
32,207,15017
32,173,1730
8,81,1204
32,63,777
69,88,303
76,72,209
32,73,223
70,73,328
65,97,472
77,88,209
73,81,223
76,72,368
73,79,249
65,81,143
82,129,304
32,95,249
89,105,719
32,87,281
69,105,575
76,72,201
32,72,296
80,73,97079
65,104,560
67,113,351
73,88,241
69,88,312
78,96,184
84,105,271
69,120,305
32,97,2984
78,72,328
79,80,456
32,64,368
81,129,400
85,136,248
73,175,73
69,89,254
82,81,225
69,130,215
32,88,577
68,89,320
73,88,248
65,105,319
76,81,272
73,106,264
90,88,185
65,72,280
82,96,296
32,97,191
69,73,281
78,73,184
32,89,168
8,0,1911
8,0,502
8,0,25
8,0,25
8,0,26
8,0,24
8,0,26
8,0,26
8,0,26
8,0,25
8,0,26
8,0,25
8,0,25
8,0,25
8,0,27
8,0,25
8,0,25
8,0,28
8,0,23
8,7,27
32,86,3065
8,54,2471
32,112,1040
81,104,496
85,185,287
73,166,114
69,80,255
82,71,224
69,121,208
32,121,704
32,136,12344
8,128,976
32,112,1840
8,72,2616
82,70,4704
69,89,487
65,87,441
76,81,255
73,88,249
90,73,615
65,97,288
82,137,368
32,97,272
68,88,321
73,80,200
65,103,224
76,80,288
73,87,257
83,96,239
73,89,295
83,97,152
32,89,249
65,185,4471
8,81,7056
69,88,433
78,65,272
32,80,184
69,79,144
83,97,240
84,88,208
65,120,144
32,64,176
73,89,415
78,65,256
83,113,312
84,79,241
73,80,520
84,89,303
85,88,224
67,104,449
73,136,184
79,119,88
78,89,335
190,71,945
32,55,256
13,65,391
188,72,432
8,81,600
77,121,488
69,104,216
32,80,169
67,112,248
79,97,223
77,72,249
85,88,392
78,80,224
73,73,479
67,104,217
79,65,271
32,89,232
67,97,304
79,88,273
78,80,264
32,88,248
70,112,160
82,80,223
69,80,209
83,119,264
69,134,297
78,80,359
73,112,248
85,81,479
83,137,344
32,62,249
188,88,3599
32,96,201
32,81,383
81,129,272
85,71,130
69,120,182
32,81,136
77,64,329
188,65,0
69,136,263
32,81,192
8,89,936
8,56,256
8,64,200
8,72,193
69,112,816
88,144,480
80,97,360
76,112,176
73,105,263
67,74,200
65,121,328
32,96,193
81,82,359
85,80,201
69,119,184
32,57,135
68,56,481
69,80,208
66,63,264
73,87,456
68,65,255
79,73,272
32,89,256
65,215,161
32,80,128
76,96,400
65,120,143
32,81,216
80,73,472
65,73,120
84,95,338
79,81,366
76,65,248
79,79,209
71,96,335
73,88,225
65,112,296
32,70,97
81,96,1174
85,87,200
69,96,304
32,94,57
80,81,2735
82,89,240
69,87,225
83,95,280
69,105,223
8,97,1048
8,80,265
8,80,224
8,81,191
8,72,185
8,55,6328
8,40,231
8,55,193
8,64,167
78,97,960
79,65,376
32,56,329
8,112,5000
8,80,239
8,88,192
8,56,232
32,56,3424
89,111,209
32,97,255
65,104,240
32,87,185
81,120,183
85,88,225
69,112,215
32,64,96
