VK,HT,FT
96,104,0
104,96,344
99,104,304
97,88,184
80,88,2448
65,96,208
67,88,368
79,74,240
8,80,784
73,90,576
69,88,304
78,96,184
84,80,272
69,104,248
32,64,160
70,90,184
69,120,216
77,88,184
69,136,128
78,88,168
73,88,240
78,88,176
65,112,216
32,80,184
68,96,104
69,130,200
32,74,144
50,98,848
53,80,416
32,54,244
65,106,436
76,82,320
8,130,656
0,96,304
79,112,234
83,124,222
32,88,192
68,106,240
69,98,208
32,86,138
69,104,94
68,82,232
65,82,328
68,106,256
32,90,192
81,88,336
85,90,208
69,104,160
32,74,144
8,0,1376
8,0,502
8,0,24
8,0,26
8,0,26
8,0,26
8,0,24
8,0,26
8,0,24
8,0,26
8,0,26
8,0,26
8,0,24
8,0,26
8,0,24
8,0,50
8,0,32
8,0,24
8,0,24
8,0,26
8,0,26
8,0,24
8,0,26
8,0,26
8,0,24
8,0,26
8,0,24
8,0,26
8,0,24
8,0,26
8,0,24
8,0,26
8,0,26
8,0,24
8,0,26
8,0,26
8,0,24
8,0,24
8,0,28
8,0,24
8,0,24
8,0,26
8,0,26
8,0,26
8,0,24
8,0,26
8,0,24
8,0,26
8,0,24
8,0,26
8,0,24
8,0,26
8,0,26
8,0,26
8,10,26
20,120,194
80,80,736
65,82,240
67,82,336
73,88,208
69,104,224
78,88,152
84,112,224
69,114,160
32,82,152
70,98,984
69,96,248
77,104,232
73,104,232
8,112,744
69,106,264
78,80,224
73,90,184
66,90,248
8,96,664
78,96,320
65,146,160
32,86,146
68,88,198
69,82,200
32,70,82
50,104,414
53,96,304
32,82,312
65,88,224
0,80,304
79,96,240
83,106,208
32,96,184
68,88,160
69,96,200
32,88,128
69,70,42
69,80,142
68,64,224
65,72,240
68,96,200
32,80,160
81,80,328
85,96,200
69,96,216
32,72,128
8,152,1144
8,74,240
8,72,184
8,80,168
8,80,168
8,64,184
8,66,184
8,64,176
8,80,160
68,88,824
65,80,352
68,96,248
32,80,192
81,96,280
85,88,200
69,104,216
32,80,144
8,104,896
32,96,648
80,80,1800
82,96,208
69,62,232
83,72,224
69,88,224
78,98,504
84,106,288
65,114,144
68,96,3848
73,96,248
83,96,176
67,104,304
79,90,272
80,88,232
65,88,304
84,74,296
73,104,392
65,112,208
32,98,296
69,96,1320
78,88,552
32,72,192
76,112,400
52,96,824
32,64,336
109,96,1184
76,88,616
53,104,480
32,120,592
69,104,3048
78,88,336
32,80,464
84,80,304
84,72,152
79,96,792
32,80,272
67,96,368
79,96,256
78,80,232
32,80,192
20,120,448
68,96,424
20,96,208
82,80,352
160,312,1104
190,96,192
32,88,200
20,128,624
79,88,224
20,80,160
84,88,360
69,96,208
82,70,98
79,88,518
32,40,400
190,112,792
32,80,248
69,104,2392
83,80,256
80,80,248
69,96,144
67,96,744
73,72,208
65,104,208
76,88,464
73,88,296
83,104,184
84,96,192
65,114,128
32,96,176
68,104,704
69,114,224
32,80,160
67,128,288
79,96,280
76,80,232
85,88,336
77,104,248
78,88,216
65,104,184
190,96,728
32,88,232
32,166,4202
8,78,4280
8,72,158
32,88,680
83,104,456
69,112,240
32,80,144
82,80,184
69,88,192
65,104,304
76,88,160
73,96,216
90,128,448
79,96,160
32,88,240
51,120,1712
32,80,200
66,120,552
76,88,280
79,88,192
81,160,584
85,96,288
69,112,344
79,88,3064
83,120,200
