VK,HT,FT
97,56,0
102,80,208
98,56,408
105,64,384
80,96,3336
65,72,280
67,103,384
73,89,327
69,129,304
78,64,153
84,104,272
69,103,160
32,56,144
81,120,1008
85,80,1175
69,88,200
32,81,144
73,80,561
78,88,200
71,120,520
82,88,168
69,64,208
83,73,199
65,127,185
32,88,240
65,143,184
32,55,41
8,133,527
61,39,25
8,0,198
8,0,501
8,0,24
8,0,25
8,0,25
8,0,26
8,0,25
8,0,26
8,0,25
8,0,26
8,0,25
8,0,25
8,13,26
8,104,454
8,95,1168
8,89,2279
8,81,288
8,65,216
8,55,177
8,49,183
8,57,168
8,55,169
8,64,168
8,55,160
80,88,887
65,56,249
67,80,280
73,79,224
69,80,248
78,79,168
84,112,264
69,127,113
32,56,182
67,73,336
79,72,169
78,73,231
32,88,185
77,72,384
69,95,168
74,72,327
79,87,417
82,134,192
73,97,223
65,103,305
32,135,136
68,80,640
69,79,184
76,40,647
32,103,193
69,71,96
83,63,216
84,95,104
83,88,271
65,89,272
68,104,273
79,64,104
32,97,255
71,87,321
69,104,192
78,89,247
69,119,33
82,87,264
65,135,312
76,80,256
188,88,535
32,80,233
65,96,632
70,104,336
69,136,232
66,80,327
82,119,249
73,63,320
76,55,368
32,79,216
188,71,456
32,104,176
65,104,151
66,63,729
68,89,279
79,72,329
77,73,223
69,112,241
78,89,151
32,80,225
66,64,600
76,80,560
65,161,447
78,94,130
68,87,255
79,72,256
32,95,240
68,105,367
69,95,281
80,73,487
82,136,233
69,88,272
83,97,263
73,88,2601
66,81,703
76,89,576
69,112,209
188,104,512
32,143,264
13,64,12608
71,72,2519
66,48,400
101,64,3872
103,72,392
104,48,1072
97,63,929
111,127,1960
72,96,736
84,96,279
79,56,920
98,111,1097
102,72,320
111,112,728
72,65,815
66,72,1192
104,87,977
110,97,807
103,111,441
111,88,1824
84,71,1424
80,73,639
97,112,832
103,95,497
111,103,616
75,64,1231
80,63,545
84,88,639
84,81,272
101,63,1233
105,72,368
111,119,600
53,40,1111
82,54,1
8,88,5999
8,112,640
82,81,1856
73,71,625
78,57,271
97,56,1024
110,72,440
99,72,312
104,72,608
111,88,552
71,56,1064
76,81,568
85,79,329
67,73,407
97,54,4825
99,72,335
98,80,240
111,105,1568
85,49,37463
82,57,288
69,72,385
65,65,224
102,64,2040
104,80,296
111,89,919
67,89,993
82,104,288
69,96,152
65,56,288
84,64,504
97,65,1200
110,86,288
99,56,288
111,88,904
70,74,991
65,55,249
76,72,512
98,64,1080
99,64,224
104,120,368
111,88,512
84,32,752
71,24,328
79,40,520
99,81,1527
103,88,425
111,97,703
84,66,1856
71,64,281
80,72,720
97,64,2744
96,49,287
111,89,1272
66,73,632
84,64,401
97,64,968
110,56,400
99,73,847
111,80,625
78,104,712
65,72,360
97,72,632
99,104,263
104,136,721
8,86,1928
8,72,232
100,55,1424
104,88,488
111,81,1159
75,56,1129
100,80,1856
110,80,520
97,96,1192
111,64,2560
67,57,823
59,71,592
8,88,761
76,65,295
97,64,688
96,55,225
96,64,176
111,73,863
80,80,1345
72,48,520
103,88,1528
110,72,584
100,65,343
111,152,2281
80,72,1152
76,78,136
65,72,432
81,88,216
98,95,1264
97,65,295
101,72,592
188,64,2553
13,104,743
13,81,16144
38,112,993
73,88,672
78,47,640
73,73,407
67,57,288
73,64,441
65,135,224
32,47,120
84,89,287
84,64,152
79,64,512
32,63,241
65,120,167
84,71,209
66,72,656
32,81,1727
67,95,641
79,71,272
78,57,223
32,56,184
67,89,320
69,105,320
70,89,240
84,135,281
82,80,272
79,72,215
8,112,576
73,71,401
65,40,263
88,104,416
79,80,168
78,73,256
65,79,193
32,136,2607
69,97,536
86,96,3025
82,104,3912
69,89,231
70,88,233
73,80,200
69,104,119
82,41,216
69,72,177
32,72,287
67,80,256
65,80,489
73,72,223
68,64,201
65,127,224
32,56,167
68,80,561
69,49,199
83,96,176
68,72,192
69,64,185
32,57,103
83,104,392
85,72,401
32,73,215
80,88,632
82,127,617
79,49,239
80,72,177
73,64,216
65,119,368
32,97,295
65,142,33
8,113,1615
65,104,912
76,65,320
84,64,345
85,72,735
82,88,225
65,121,383
32,81,200
67,112,272
79,72,608
8,128,2193
8,105,271
80,95,889
79,63,144
82,113,247
32,48,161
76,81,447
79,87,241
8,137,518
8,89,313
67,145,768
79,65,312
78,79,265
83,103,360
73,89,255
71,63,321
85,81,711
73,80,208
69,89,96
78,64,265
84,80,255
69,112,88
32,65,176
68,73,368
79,63,201
76,63,192
79,87,176
82,103,783
32,57,144
69,105,160
78,48,640
32,73,168
72,65,248
85,80,432
69,88,144
83,96,224
79,65,248
32,64,240
67,88,328
79,65,264
88,97,400
73,72,248
83,88,272
