VK,HT,FT
97,81,0
102,71,209
98,72,1223
101,64,217
80,47,3192
65,111,264
67,96,408
73,80,256
69,80,287
78,79,161
69,159,232
84,113,31
32,73,312
8,337,1616
8,151,441
8,111,728
8,111,216
84,88,1400
69,96,223
32,56,144
69,112,193
8,119,952
8,72,231
8,72,176
8,81,168
8,79,177
8,73,167
8,64,168
8,65,168
8,72,169
8,79,176
20,174,808
69,152,911
8,88,7608
80,80,473
65,65,223
67,79,273
73,89,279
69,104,232
78,80,128
84,120,232
69,102,25
32,96,215
69,95,73
78,56,519
32,73,192
66,81,408
85,87,273
69,111,135
78,72,312
32,72,200
69,88,80
83,105,224
84,73,176
65,88,144
8,64,8289
8,80,175
8,72,184
8,72,177
8,72,167
8,95,1129
8,0,199
8,0,501
8,0,25
8,0,25
8,0,25
8,0,26
8,0,27
8,0,25
8,0,25
8,0,24
8,0,26
8,0,25
8,0,26
8,0,26
8,0,24
8,0,24
8,0,25
8,0,25
8,0,25
8,0,26
8,0,25
8,0,26
8,0,26
8,0,25
8,0,25
8,0,25
8,0,26
8,0,26
8,0,25
8,0,25
8,0,27
8,0,24
8,0,25
8,0,26
8,8,24
20,80,393
80,72,512
65,80,264
67,81,368
73,79,585
69,120,335
78,79,89
84,80,263
69,80,104
32,81,136
69,79,129
78,96,520
32,104,207
66,88,376
85,81,344
69,104,208
78,73,192
32,79,224
69,81,63
83,97,233
84,96,128
65,64,136
68,97,272
79,57,232
32,80,272
71,104,240
69,120,208
78,71,312
69,96,584
82,96,216
65,113,192
76,80,1328
32,73,352
67,88,3472
79,80,408
78,72,264
32,56,224
72,80,240
69,72,168
82,79,241
73,72,471
68,40,248
65,113,224
32,88,169
83,88,232
85,88,223
84,79,297
85,89,559
82,97,296
65,96,256
68,88,272
65,80,176
32,87,337
69,152,799
78,88,2152
65,105,624
82,88,264
67,95,433
79,73,358
32,72,305
83,104,264
85,72,216
80,48,576
69,97,336
82,73,240
67,96,400
73,72,216
76,64,248
73,79,233
65,113,159
82,87,193
32,72,407
68,56,1400
69,80,168
82,81,216
69,72,208
67,80,225
72,64,511
79,88,591
111,160,1106
89,72,2287
32,87,241
84,80,239
65,87,265
66,64,679
73,80,440
81,88,320
85,88,584
69,88,248
32,72,240
188,136,1304
13,73,880
69,89,624
68,80,224
69,88,208
77,80,280
65,112,240
32,49,248
89,80,256
32,72,224
72,80,656
69,105,224
77,56,304
65,105,264
84,80,208
79,73,727
77,95,234
65,135,143
32,79,160
80,112,1416
65,104,215
76,63,329
80,80,480
69,96,320
66,64,560
82,88,272
65,104,176
76,72,528
32,80,288
79,80,664
74,80,256
79,80,328
32,72,384
68,80,920
69,80,192
82,87,208
69,72,224
67,80,232
72,72,520
79,80,512
190,88,848
13,47,896
83,128,3216
73,73,287
8,80,1041
79,72,416
76,72,216
73,89,256
67,121,408
73,72,248
84,79,248
79,72,512
32,80,256
69,104,184
86,71,281
65,104,223
76,72,352
85,80,280
65,80,176
67,72,312
73,178,511
79,87,153
78,80,296
32,64,256
67,137,1480
79,72,224
78,80,256
32,72,224
79,79,576
70,81,751
84,87,209
65,104,264
76,71,424
77,97,199
79,80,273
76,73,247
79,72,217
71,80,272
73,80,432
65,96,224
32,96,11615
78,80,353
85,72,288
87,56,272
86,65,239
65,184,377
77,79,352
69,137,687
78,80,137
84,104,256
69,113,143
32,88,161
32,81,1143
190,104,15809
32,96,287
13,232,729
71,64,14616
66,57,471
97,48,1073
99,49,423
101,56,481
96,39,384
96,73,263
111,143,1089
72,57,1183
84,88,249
79,71,535
99,71,1089
101,63,280
111,119,496
72,72,1224
66,64,416
97,71,1176
98,64,592
111,103,512
71,65,2335
76,73,1008
85,72,289
97,217,1039
98,119,161
102,79,312
111,89,751
67,103,1081
82,129,231
69,88,161
65,72,208
84,56,496
96,64,1351
110,81,432
104,72,473
111,129,439
85,55,1321
82,72,527
69,71,169
65,65,223
99,79,1160
100,79,313
111,96,632
84,56,1343
71,71,401
79,72,568
98,72,1272
105,80,295
111,103,433
84,80,1112
71,57,303
79,65,576
8,72,801
80,72,1224
98,57,822
98,56,201
111,89,480
78,57,1696
65,72,360
97,55,1273
99,96,687
102,88,296
111,120,688
75,72,1456
100,97,704
110,81,456
100,80,320
