VK,HT,FT
97,66,0
97,66,150
100,89,188
96,51,225
80,101,4640
65,95,231
67,103,334
73,81,253
69,100,194
78,80,188
84,98,247
69,95,108
32,92,206
81,95,396
85,86,527
69,101,173
32,83,160
69,100,960
83,93,256
32,84,194
84,124,1524
8,121,915
68,95,752
69,98,185
82,153,185
73,92,346
86,83,319
65,98,168
68,84,293
65,104,268
32,98,183
68,115,1134
69,124,245
76,78,265
32,89,236
83,92,211
69,98,211
82,120,214
86,77,362
73,83,424
67,152,219
73,107,422
79,72,185
32,86,245
68,95,148
69,109,179
32,89,80
67,123,274
76,83,305
73,106,219
78,80,251
73,84,241
67,86,231
65,107,305
32,66,165
77,81,427
69,101,188
68,97,254
73,81,210
67,95,202
65,107,305
32,66,263
80,98,1170
65,101,205
82,100,209
65,116,931
32,103,229
80,78,12597
65,115,228
83,99,325
8,121,807
8,78,225
8,52,196
8,159,9996
8,121,2742
8,98,251
8,83,185
8,81,159
8,55,205
32,104,572
65,130,325
32,77,198
20,188,871
85,78,150
68,95,591
87,104,274
8,159,1057
69,112,535
20,136,880
32,168,408
8,115,1364
188,77,522
32,74,316
8,115,4433
20,191,291
80,104,324
20,189,231
80,98,4331
65,133,262
82,98,235
65,107,111
32,97,166
83,98,171
69,95,188
32,81,145
84,98,299
82,95,205
65,87,117
83,95,203
76,90,461
65,98,163
68,77,405
65,78,270
68,63,234
65,89,216
32,78,165
65,95,194
32,72,103
76,86,484
65,124,154
32,81,148
84,97,1636
69,92,162
82,80,114
65,113,213
80,95,465
73,101,228
65,113,117
32,72,223
73,78,418
78,89,248
84,83,285
69,100,128
78,66,416
83,125,338
73,80,172
86,86,359
65,130,111
190,72,3274
32,75,219
8,81,13737
8,89,165
32,92,425
80,170,717
79,101,138
82,132,348
32,95,191
80,92,524
82,92,199
69,92,202
83,60,203
69,89,162
78,72,162
84,104,247
65,112,189
82,97,351
32,34,336
32,101,2503
73,109,906
78,83,231
83,128,384
85,74,218
70,123,373
73,87,327
67,98,245
73,89,220
69,92,222
78,89,190
67,80,288
73,86,236
65,122,168
32,71,138
82,86,270
69,77,205
83,109,188
80,118,564
73,92,436
82,89,188
65,112,311
84,92,271
79,81,501
82,92,342
73,83,527
79,84,190
190,92,989
8,98,863
65,148,370
190,74,566
32,64,241
13,89,567
80,110,1421
65,109,118
67,112,299
73,92,234
69,86,191
78,92,193
84,95,328
69,98,105
32,81,239
81,116,470
85,84,197
69,112,191
32,71,146
73,89,546
78,77,254
71,90,278
82,103,240
69,83,188
83,81,179
79,77,479
32,89,247
65,150,214
32,78,172
8,83,1276
8,78,185
69,133,1401
76,103,303
32,89,213
68,98,114
73,100,214
65,138,154
32,78,160
54,89,949
82,129,158625
8,219,5208
8,156,363
8,86,93317
8,72,205
8,69,179
8,83,159
8,86,162
8,78,168
8,69,174
8,95,882
8,141,1140
8,86,254
8,92,176
8,101,171
8,109,160
8,115,168
32,92,1510
69,109,3296
86,149,348
79,95,319
76,97,294
85,87,586
67,129,288
73,86,203
79,94,185
78,92,284
65,150,174
32,106,184
68,86,1786
69,75,222
83,87,279
70,81,265
65,89,342
86,72,370
79,84,504
82,98,188
65,121,339
70,104,576
76,87,225
69,153,521
77,95,277
69,106,177
78,92,342
84,101,273
69,124,134
188,121,5521
32,93,399
13,81,2077
83,90,974
69,121,248
32,89,92
82,75,199
69,95,174
67,90,398
73,92,470
66,86,331
69,84,150
32,118,231
67,103,271
79,86,285
78,118,242
32,112,228
8,109,1205
8,69,228
8,72,168
8,72,156
8,72,162
8,74,154
8,66,165
8,72,150
8,72,159
8,66,165
8,72,148
8,69,156
8,69,154
8,66,153
20,124,587
83,70,288
86,95,934
160,220,1039
190,79,132
32,92,250
83,98,2974
65,116,283
84,78,223
32,81,277
57,69,717
56,75,211
32,69,411
160,222,989
53,76,91
32,95,333
67,118,386
79,81,288
78,84,283
32,95,194
79,72,863
50,110,360
32,101,498
65,116,766
32,98,175
52,80,806
32,84,262
76,89,575
111,108,2927
20,102,1353
32,147,768
51,106,3100
56,83,376
190,83,858
56,77,1764
55,81,2504
8,152,2035
160,262,103006
55,73,54
32,112,689
97,81,7623
100,97,197
96,72,310
111,52,477
105,95,410
96,69,268
77,66,1296
77,71,148
72,92,1107
71,104,775
160,279,2117
55,64,42
13,80,185275
65,165,991
71,101,275
85,85,388
65,115,71
82,86,223
68,95,182
65,119,139
8,184,1178
79,72,713
32,84,247
67,80,254
65,115,173
83,44,14
77,109,314
65,104,86
32,90,165
8,77,1126
8,87,164
8,80,177
8,66,188
8,63,179
8,89,256
8,69,233
32,107,823
85,69,2273
84,69,291
73,64,486
78,57,12489
8,80,1327
78,89,19107
79,89,239
