VK,HT,FT
97,80,0
102,112,160
97,89,264
104,73,264
80,56,3392
65,80,264
67,104,304
73,80,192
69,88,264
78,72,136
84,81,263
69,95,65
32,63,216
81,104,384
85,80,208
69,80,176
32,56,136
83,81,167
69,72,201
32,56,88
69,63,400
78,24,232
78,73,159
67,81,304
85,73,224
69,88,185
78,64,176
84,104,288
82,88,152
65,113,224
32,64,160
72,72,392
69,72,200
77,72,344
73,79,329
68,65,383
73,80,272
78,80,399
65,88,161
77,72,616
73,80,256
67,65,239
65,104,305
77,88,224
69,120,199
78,64,153
84,96,272
69,80,80
32,79,192
69,80,136
83,104,208
84,79,249
65,62,168
66,65,343
76,88,448
69,80,304
8,48,3024
8,56,152
82,96,944
69,57,215
71,72,369
82,64,136
69,64,192
83,72,264
65,89,231
32,80,129
68,80,200
69,105,191
32,64,161
82,57,2087
69,80,193
65,97,359
76,72,185
73,80,240
90,48,360
65,72,200
82,88,272
32,48,264
65,105,13688
78,71,240
71,64,416
73,73,735
79,73,224
71,88,417
82,96,264
65,96,239
70,88,217
73,80,448
65,121,167
32,80,169
68,79,160
69,95,192
32,80,80
71,88,415
82,80,256
61,40,577
8,33,9
8,47,191
8,64,242
86,74,832
65,64,192
83,72,213
79,65,312
83,89,113
32,80,191
67,81,544
69,79,256
82,40,217
69,56,207
66,81,216
82,97,208
65,56,473
76,72,224
69,97,143
83,105,241
188,72,1408
8,48,2360
83,74,4704
69,88,208
32,72,128
69,87,215
78,57,320
32,79,4145
32,39,2232
67,112,320
79,72,240
78,71,304
32,55,200
77,82,320
69,79,280
75,23,472
8,81,543
74,111,337
79,73,183
84,88,369
8,97,623
82,95,377
73,72,208
65,152,287
32,80,184
68,73,216
69,100,196
32,56,597
76,72,184
65,128,200
32,55,129
67,88,574
69,96,264
70,81,296
65,72,232
76,56,328
69,65,144
65,87,297
32,80,160
188,79,536
32,71,184
83,71,200
69,72,208
71,80,297
85,89,446
78,73,224
32,55,192
82,81,207
69,56,249
70,64,225
73,72,208
69,56,176
82,58,201
69,113,167
190,73,1071
32,80,225
8,80,743
8,72,161
32,72,512
76,73,447
65,112,185
32,81,127
80,81,696
65,65,160
67,97,328
73,89,224
69,89,192
78,88,201
84,105,271
69,79,81
190,96,1464
8,63,79896
20,183,399
80,73,392
32,62,48345
84,80,479
8,86,1016
78,72,1280
79,88,192
82,64,312
77,70,554
79,96,190
84,80,288
69,81,231
78,72,513
83,71,328
65,71,160
8,0,1280
8,0,501
8,0,25
8,0,25
8,0,25
8,0,24
8,0,26
8,0,25
8,0,25
8,2,25
20,70,1124
78,56,799
79,73,871
82,71,769
77,65,527
79,64,241
84,72,288
69,65,231
78,72,497
83,81,328
65,79,200
8,102,43753
20,159,3031
78,96,895
188,71,3969
32,64,191
8,81,3568
8,49,184
190,81,984
32,80,232
13,96,3625
67,184,6768
79,78,161
78,88,222
84,111,329
73,81,295
78,80,584
85,96,361
65,112,752
32,57,575
69,120,361
78,72,223
32,88,185
85,89,375
68,80,264
69,120,201
188,72,1504
32,64,208
77,81,239
79,97,216
78,80,328
73,96,216
84,72,513
79,64,520
82,87,280
73,73,543
90,70,361
65,65,207
68,57,216
65,73,224
32,129,1344
89,63,929
32,41,359
69,81,656
8,104,672
67,96,312
79,87,305
78,65,199
32,64,192
67,71,352
79,64,226
78,78,264
84,95,255
82,80,111
79,72,488
76,65,184
32,80,216
69,88,240
83,72,256
84,113,192
82,64,120
73,89,488
67,89,216
84,73,288
79,72,432
32,80,249
8,136,880
68,80,240
69,121,183
32,70,90
80,88,262
65,89,200
82,96,208
65,87,89
77,88,559
69,103,201
84,160,176
82,87,136
79,80,463
83,120,152
32,87,185
86,72,303
73,88,424
84,80,272
65,97,208
76,63,337
69,73,151
83,89,224
32,183,3857
65,96,4511
70,73,376
69,113,256
66,72,384
82,112,280
73,78,257
76,65,271
32,48,296
190,81,768
32,97,192
83,80,280
69,96,216
32,80,152
72,56,1232
65,56,256
66,56,248
76,80,345
65,80,111
32,80,176
67,96,528
79,72,232
78,57,239
32,63,202
68,103,432
82,88,327
32,64,280
80,79,617
73,72,255
83,79,296
84,74,199
73,48,449
76,49,264
76,72,128
79,72,208
32,80,264
160,225,671
56,80,105
32,104,288
85,97,320
84,80,552
73,71,856
160,184,648
57,64,120
32,71,912
73,105,2584
78,88,264
70,104,480
79,80,168
82,72,280
77,79,192
65,78,314
78,87,223
68,57,246
79,72,217
32,73,248
68,56,160
69,104,168
32,62,81
76,88,247
65,112,160
32,73,208
67,96,328
8,79,601
83,120,2111
73,96,200
84,72,272
85,81,353
65,99,174
67,88,360
73,129,289
79,103,105
78,98,303
32,80,239
68,65,1721
32,72,200
8,88,856
69,121,512
32,73,168
76,88,232
65,112,136
32,89,143
8,73,1297
8,56,208
8,72,160
8,0,167
8,0,502
8,0,25
8,0,25
8,0,25
8,0,26
8,0,25
8,0,24
8,0,27
8,0,25
8,0,26
8,0,25
8,0,25
8,0,27
8,0,25
8,0,26
8,23,24
8,72,287
8,49,216
8,40,185
32,64,543
68,56,272
69,73,184
76,80,120
32,73,207
69,64,193
83,66,215
84,72,137
65,65,160
68,89,464
79,72,216
32,96,248
68,71,240
69,72,216
76,73,304
32,80,376
8,80,736
8,72,160
32,72,448
76,80,472
65,88,224
32,80,128
80,88,296
65,80,120
67,71,344
73,87,192
69,97,239
78,88,177
84,96,256
69,95,49
190,64,975
78,71,2304
79,80,160
